price,rent,Apartement
2500.0,rent,apartment
3500.0,rent,apartment
2850.0,rent,apartment
1850.0,rent,apartment
7500.0,rent,house
1000.0,rent,apartment
1700.0,rent,store
2500.0,rent,apartment
3500.0,rent,store
5500.0,rent,store
2600.0,rent,apartment
4000.0,rent,apartment
1500.0,rent,apartment
2000.0,rent,apartment
1900.0,rent,apartment
2300.0,rent,apartment
30000.0,rent,house
4000.0,rent,store
1900.0,rent,store
2500.0,rent,store
11000.0,rent,house
5800.0,rent,store
3000.0,rent,store
1650.0,rent,apartment
2800.0,rent,apartment
3300.0,rent,apartment
1800.0,rent,apartment
2500.0,rent,store
6500.0,rent,house
2000.0,rent,apartment
6000.0,rent,store
2400.0,rent,apartment
2500.0,rent,house
2800.0,rent,apartment
1650.0,rent,apartment
2000.0,rent,apartment
3000.0,rent,house
1500.0,rent,store
15000.0,rent,apartment
15000.0,rent,house
2800.0,rent,house
8000.0,rent,apartment
12000.0,rent,apartment
700.0,rent,apartment
9000.0,rent,apartment
19000.0,rent,apartment
30000.0,rent,apartment
8000.0,rent,apartment
70000.0,rent,store
5000.0,rent,store
13500.0,rent,apartment
8000.0,rent,apartment
700.0,rent,apartment
6500.0,rent,apartment
36000.0,rent,store
3700.0,rent,store
45000.0,rent,apartment
5000.0,rent,store
6000.0,rent,store
39000.0,rent,house
2300.0,rent,PH
2500.0,rent,apartment
2200.0,rent,apartment
6000.0,rent,store
3500.0,rent,apartment
6000.0,rent,store
3500.0,rent,apartment
6000.0,rent,store
6000.0,rent,store
3500.0,rent,apartment
3500.0,rent,apartment
3500.0,rent,apartment
6000.0,rent,store
6000.0,rent,store
3300.0,rent,apartment
3500.0,rent,apartment
6000.0,rent,store
6000.0,rent,store
6000.0,rent,store
15000.0,rent,house
7000.0,rent,house
7000.0,rent,house
17000.0,rent,house
4100.0,rent,apartment
12000.0,rent,apartment
3200.0,rent,apartment
3000.0,rent,store
1500.0,rent,apartment
1800.0,rent,apartment
2700.0,rent,apartment
3500.0,rent,apartment
1400.0,rent,apartment
2400.0,rent,house
3800.0,rent,house
1200.0,rent,apartment
